time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.4053414827757443e-07,2.2469395670814727e-07,10.003438901076402,0.0002193648728372466,0.00014748465192493398,0.0,-1.2788381641813795e-05,1.980448295691649e-05,0.11462465182330119,0.010115898825413933,0.006969750364973789,0.0,440.6892107842094,441.26479372479616,441.63692607406347,442.4702991115915
0.12000000000000001,-5.6899049227580684e-06,8.497000266149162e-06,10.014270011097832,0.0006755874206794132,0.00043513609838097267,0.0,-0.0002102758158406038,0.00031324339652365787,0.24639232479437564,0.002035014809631083,4.300458475133429e-05,0.0,446.8758974380033,446.3109308164543,447.5157929642813,446.8575523617424
0.18,-2.7843323529105362e-05,4.2323960888527296e-05,10.033059892592533,0.0006141969218083076,0.0005443938271882942,0.0,-0.0005343705983075768,0.0008184382157448187,0.37990143498012086,-0.007975075239486037,0.005159025902046171,0.0,446.80271269243326,447.2195094838521,448.37104349092107,447.5572215706403
0.23999999999999996,-7.118369764020691e-05,0.00010121806384151296,10.05695828438032,6.28304152001217,0.0008370254607541483,0.0,-0.000938201891527495,0.0010894247071330044,0.41669860880889686,-0.0241212004694966,0.004307461619704594,0.0,415.74691734906645,415.67222469163977,418.045410353477,416.636435562185
0.3,-0.0001461235096054798,0.00015854414626033806,10.08466680011212,6.2819158699708275,0.0016106494408720806,0.0,-0.0016156297612556505,0.0006938272244100994,0.5068822102594043,-0.009759663827353288,0.026106213206181644,0.0,432.7151222129869,434.54593842872316,433.71119818047526,434.9155546523573
0.36000000000000004,-0.00028430063568035793,0.00017035928600269624,10.119067677070687,6.28134330656583,0.0027369366862890487,0.0,-0.003141540653675874,-0.00036178220367352184,0.6397477619550328,-0.009112331322906264,-0.00291618503378604,0.0,448.3216554413128,445.95764926657523,447.8241249587905,447.876892633255
0.4200000000000001,-0.0005364826259156691,0.00010307929697247243,10.16333570795598,6.2803316113779815,0.0025852148472766956,0.0,-0.005245223444169246,-0.0019615687305698576,0.8357301420265525,-0.04064361225152204,-0.0017647149138952868,0.0,466.3522593866247,466.44223139000155,468.4515774217343,465.99359144453564
0.48000000000000015,-0.0009087364833748779,-8.814936400078561e-05,10.218058429793535,6.277541017270249,0.002873984269387009,0.0,-0.007175688869720856,-0.004695145444179022,0.9882397473518415,-0.062059872407326425,0.015488057057855931,0.0,452.9048598568978,454.290131132346,455.2266501845571,453.5085597418153
0.5400000000000001,-0.0014113686597387039,-0.0005199485399504779,10.283389660217402,6.273798262747999,0.00367348904643805,0.0,-0.009679708864784812,-0.010133574510866973,1.1892770995982798,-0.06302545492987577,0.008604344326791646,0.0,469.6510403781416,469.11676815699303,468.3745117764817,468.2968277894089
0.6000000000000002,-0.002093313205095424,-0.0013963344014850188,10.363682778414365,6.269857953305429,0.004753917252874551,0.0,-0.013161333663618218,-0.019581730149262667,1.4868160625827715,-0.07157023073819146,0.03218016707972293,0.0,496.9770759591216,498.7018387991461,496.54690510527274,495.91700477135976
0.6600000000000003,-0.003011382791599237,-0.0029257165164698366,10.460327773365275,6.265460497767407,0.006789990463528461,0.0,-0.017685108755268852,-0.03193061013799238,1.7343324454412123,-0.0769736187080203,0.03723012384751484,0.0,482.9748855715172,483.35594304993424,484.2008766313513,483.79053505301584
0.7200000000000003,-0.004209945508774762,-0.005195694773249678,10.565788372095847,6.26085151372768,0.009182511153601247,0.0,-0.022484595677918596,-0.04416808332558184,1.7809387936412695,-0.07650398910419078,0.04469953325786008,0.0,421.80790696444205,422.4533161967055,423.1912552800931,423.22667738081776
0.7800000000000004,-0.00574507419694688,-0.008291480075394934,10.674205458432073,6.256159959284005,0.011828688335826953,0.0,-0.028938430567644554,-0.05946290536353401,1.832868324425041,-0.08180145426013302,0.0428826514029852,0.0,425.3628743103682,425.2084610488971,424.1540040565612,423.6936212759618
0.8400000000000004,-0.007745905147844712,-0.012456116917845336,10.787885021080953,6.2513748219612655,0.015378986714364551,0.0,-0.03808859749746946,-0.07986327858557182,1.9562272770919713,-0.07594244257439901,0.0801597903099487,0.0,445.57200939776214,448.61111641740786,447.9032998615237,448.37444787493513
0.9000000000000005,-0.01042724677992842,-0.01804109108786174,10.911881709108116,6.246447901759154,0.02070649787958523,0.0,-0.051895274678409535,-0.10685211316869082,2.176571584177159,-0.09880832231306479,0.10205208029007132,0.0,476.6107879221626,478.2867421715798,478.0193955320059,476.26863255298304
0.9600000000000005,-0.014024837071228063,-0.025289492316187913,11.046934761739973,6.240203772300012,0.027186647569122258,0.0,-0.06870844474633984,-0.1354106599000226,2.3248626677191826,-0.11748668603161107,0.11782186739053155,0.0,455.44707206190617,456.7163431810292,458.06389353942103,456.56683928056
1.0200000000000005,-0.018791631447117613,-0.03441491375589687,11.191353145137793,6.232713150035892,0.03416998227885504,0.0,-0.09095864940412947,-0.1695558677154562,2.4886769812674943,-0.14660152051803121,0.11335989409641496,0.0,462.33823992223233,461.9981210018499,463.24641187562395,460.937220972796
1.0800000000000005,-0.025136063540176848,-0.045891540845734866,11.348004915816498,6.223661883318162,0.040993720819921364,0.0,-0.12134333070858434,-0.21406522328097083,2.7324016724845666,-0.16109988385403173,0.11445645022377268,0.0,486.9450131856684,487.0373123232249,486.56532731949886,485.4592432982114
